date,confirmed,deaths,country,new_cases,new_deaths,new_cases_7day_avg,growth_rate,case_fatality_rate
2020-01-22,0,0,India,0.0,0.0,0.0,0.0,0.0
2020-01-23,0,0,India,0.0,0.0,0.0,0.0,0.0
2020-01-24,0,0,India,0.0,0.0,0.0,0.0,0.0
2020-01-25,0,0,India,0.0,0.0,0.0,0.0,0.0
2020-01-26,0,0,India,0.0,0.0,0.0,0.0,0.0
2020-01-27,0,0,India,0.0,0.0,0.0,0.0,0.0
2020-01-28,0,0,India,0.0,0.0,0.0,0.0,0.0
2020-01-29,0,0,India,0.0,0.0,0.0,0.0,0.0
2020-01-30,1,0,India,1.0,0.0,0.14285714285714285,500.0,0.0
2020-01-31,1,0,India,0.0,0.0,0.14285714285714285,0.0,0.0
2020-02-01,1,0,India,0.0,0.0,0.14285714285714285,0.0,0.0
2020-02-02,2,0,India,1.0,0.0,0.2857142857142857,100.0,0.0
2020-02-03,3,0,India,1.0,0.0,0.42857142857142855,50.0,0.0
2020-02-04,3,0,India,0.0,0.0,0.42857142857142855,0.0,0.0
2020-02-05,3,0,India,0.0,0.0,0.42857142857142855,0.0,0.0
2020-02-06,3,0,India,0.0,0.0,0.2857142857142857,0.0,0.0
2020-02-07,3,0,India,0.0,0.0,0.2857142857142857,0.0,0.0
2020-02-08,3,0,India,0.0,0.0,0.2857142857142857,0.0,0.0
2020-02-09,3,0,India,0.0,0.0,0.14285714285714285,0.0,0.0
2020-02-10,3,0,India,0.0,0.0,0.0,0.0,0.0
2020-02-11,3,0,India,0.0,0.0,0.0,0.0,0.0
2020-02-12,3,0,India,0.0,0.0,0.0,0.0,0.0
2020-02-13,3,0,India,0.0,0.0,0.0,0.0,0.0
2020-02-14,3,0,India,0.0,0.0,0.0,0.0,0.0
2020-02-15,3,0,India,0.0,0.0,0.0,0.0,0.0
2020-02-16,3,0,India,0.0,0.0,0.0,0.0,0.0
2020-02-17,3,0,India,0.0,0.0,0.0,0.0,0.0
2020-02-18,3,0,India,0.0,0.0,0.0,0.0,0.0
2020-02-19,3,0,India,0.0,0.0,0.0,0.0,0.0
2020-02-20,3,0,India,0.0,0.0,0.0,0.0,0.0
2020-02-21,3,0,India,0.0,0.0,0.0,0.0,0.0
2020-02-22,3,0,India,0.0,0.0,0.0,0.0,0.0
2020-02-23,3,0,India,0.0,0.0,0.0,0.0,0.0
2020-02-24,3,0,India,0.0,0.0,0.0,0.0,0.0
2020-02-25,3,0,India,0.0,0.0,0.0,0.0,0.0
2020-02-26,3,0,India,0.0,0.0,0.0,0.0,0.0
2020-02-27,3,0,India,0.0,0.0,0.0,0.0,0.0
2020-02-28,3,0,India,0.0,0.0,0.0,0.0,0.0
2020-02-29,3,0,India,0.0,0.0,0.0,0.0,0.0
2020-03-01,3,0,India,0.0,0.0,0.0,0.0,0.0
2020-03-02,5,0,India,2.0,0.0,0.2857142857142857,66.66666666666667,0.0
2020-03-03,5,0,India,0.0,0.0,0.2857142857142857,0.0,0.0
2020-03-04,28,0,India,23.0,0.0,3.5714285714285716,459.99999999999994,0.0
2020-03-05,30,0,India,2.0,0.0,3.857142857142857,7.14285714285714,0.0
2020-03-06,31,0,India,1.0,0.0,4.0,3.3333333333333437,0.0
2020-03-07,34,0,India,3.0,0.0,4.428571428571429,9.677419354838701,0.0
2020-03-08,39,0,India,5.0,0.0,5.142857142857143,14.705882352941169,0.0
2020-03-09,43,0,India,4.0,0.0,5.428571428571429,10.256410256410264,0.0
2020-03-10,56,0,India,13.0,0.0,7.285714285714286,30.232558139534895,0.0
2020-03-11,62,1,India,6.0,1.0,4.857142857142857,10.71428571428572,1.6129032258064515
2020-03-12,73,1,India,11.0,0.0,6.142857142857143,17.741935483870975,1.36986301369863
2020-03-13,82,2,India,9.0,1.0,7.285714285714286,12.328767123287676,2.4390243902439024
2020-03-14,102,2,India,20.0,0.0,9.714285714285714,24.390243902439025,1.9607843137254901
2020-03-15,113,2,India,11.0,0.0,10.571428571428571,10.784313725490202,1.7699115044247788
2020-03-16,119,2,India,6.0,0.0,10.857142857142858,5.3097345132743445,1.680672268907563
2020-03-17,142,3,India,23.0,1.0,12.285714285714286,19.327731092436974,2.112676056338028
2020-03-18,156,3,India,14.0,0.0,13.428571428571429,9.859154929577475,1.9230769230769231
2020-03-19,194,4,India,38.0,1.0,17.285714285714285,24.35897435897436,2.0618556701030926
2020-03-20,244,5,India,50.0,1.0,23.142857142857142,25.773195876288657,2.0491803278688523
2020-03-21,330,4,India,86.0,0.0,32.57142857142857,35.24590163934427,1.2121212121212122
2020-03-22,396,7,India,66.0,3.0,40.42857142857143,19.999999999999996,1.7676767676767675
2020-03-23,499,10,India,103.0,3.0,54.285714285714285,26.010101010101017,2.004008016032064
2020-03-24,536,10,India,37.0,0.0,56.285714285714285,7.414829659318634,1.8656716417910446
2020-03-25,657,12,India,121.0,2.0,71.57142857142857,22.574626865671643,1.82648401826484
2020-03-26,727,20,India,70.0,8.0,76.14285714285714,10.654490106544912,2.7510316368638237
2020-03-27,887,20,India,160.0,0.0,91.85714285714286,22.00825309491059,2.254791431792559
2020-03-28,987,24,India,100.0,4.0,93.85714285714286,11.2739571589628,2.43161094224924
2020-03-29,1024,27,India,37.0,3.0,89.71428571428571,3.7487335359675855,2.63671875
2020-03-30,1251,32,India,227.0,5.0,107.42857142857143,22.16796875,2.5579536370903275
2020-03-31,1397,35,India,146.0,3.0,123.0,11.670663469224628,2.505368647100931
2020-04-01,1998,58,India,601.0,23.0,191.57142857142858,43.02075876879026,2.902902902902903
2020-04-02,2543,72,India,545.0,14.0,259.42857142857144,27.277277277277268,2.8313016122689736
2020-04-03,2567,72,India,24.0,0.0,240.0,0.9437672040896627,2.8048305414881183
2020-04-04,3082,86,India,515.0,14.0,299.2857142857143,20.06232956758862,2.790395846852693
2020-04-05,3588,99,India,506.0,13.0,366.2857142857143,16.417910447761198,2.7591973244147154
2020-04-06,4778,136,India,1190.0,37.0,503.85714285714283,33.16610925306578,2.8463792381749684
2020-04-07,5311,150,India,533.0,14.0,559.1428571428571,11.155295102553374,2.824326868762945
2020-04-08,5916,178,India,605.0,28.0,559.7142857142857,11.391451704010546,3.008789722785666
2020-04-09,6725,226,India,809.0,48.0,597.4285714285714,13.674780256930363,3.360594795539033
2020-04-10,7598,246,India,873.0,20.0,718.7142857142857,12.9814126394052,3.2376941300342197
2020-04-11,8446,288,India,848.0,42.0,766.2857142857143,11.160831797841531,3.409898176651669
2020-04-12,9205,331,India,759.0,43.0,802.4285714285714,8.986502486384085,3.5958718087995654
2020-04-13,10453,358,India,1248.0,27.0,810.7142857142857,13.557848995111343,3.424854108868267
2020-04-14,11487,393,India,1034.0,35.0,882.2857142857143,9.891897063044098,3.421258814311831
2020-04-15,12322,405,India,835.0,12.0,915.1428571428571,7.269086793766877,3.28680409024509
2020-04-16,13430,448,India,1108.0,43.0,957.8571428571429,8.992046745658167,3.3358153387937453
2020-04-17,14352,486,India,922.0,38.0,964.8571428571429,6.865227103499638,3.38628762541806
2020-04-18,15722,521,India,1370.0,35.0,1039.4285714285713,9.545707915273137,3.3138277572827883
2020-04-19,17615,559,India,1893.0,38.0,1201.4285714285713,12.040452868591789,3.1734317343173433
2020-04-20,18539,592,India,924.0,33.0,1155.142857142857,5.245529378370706,3.1932682453206755
2020-04-21,20080,645,India,1541.0,53.0,1227.5714285714287,8.31220669939048,3.212151394422311
2020-04-22,21370,681,India,1290.0,36.0,1292.5714285714287,6.424302788844627,3.186710341600375
2020-04-23,23077,721,India,1707.0,40.0,1378.142857142857,7.987833411324297,3.1243229189236037
2020-04-24,24530,780,India,1453.0,59.0,1454.0,6.29631234562551,3.1797798613942114
2020-04-25,26283,825,India,1753.0,45.0,1508.7142857142858,7.146351406441087,3.1389110832096794
2020-04-26,27890,881,India,1607.0,56.0,1467.857142857143,6.114218316021769,3.158838293295088
2020-04-27,29451,939,India,1561.0,58.0,1558.857142857143,5.596988167802075,3.188346745441581
2020-04-28,31324,1008,India,1873.0,69.0,1606.2857142857142,6.359716138671012,3.217979823777296
2020-04-29,33062,1079,India,1738.0,71.0,1670.2857142857142,5.548461243774749,3.263565422539471
2020-04-30,34863,1154,India,1801.0,75.0,1683.7142857142858,5.4473413586594965,3.3100995324556117
2020-05-01,37257,1223,India,2394.0,69.0,1818.142857142857,6.866878926082087,3.2826046112140004
2020-05-02,39699,1323,India,2442.0,100.0,1916.5714285714287,6.554472984942428,3.3325776467921107
2020-05-03,42505,1391,India,2806.0,68.0,2087.8571428571427,7.068188115569662,3.2725561698623693
2020-05-04,46437,1566,India,3932.0,175.0,2426.5714285714284,9.250676391012824,3.3723108727954005
2020-05-05,49400,1693,India,2963.0,127.0,2582.285714285714,6.380687813596908,3.427125506072874
2020-05-06,52987,1785,India,3587.0,92.0,2846.4285714285716,7.261133603238856,3.3687508256742222
2020-05-07,56351,1889,India,3364.0,104.0,3069.714285714286,6.348727046256619,3.35220315522351
2020-05-08,59695,1985,India,3344.0,96.0,3205.4285714285716,5.934233642703757,3.325236619482369
2020-05-09,62808,2101,India,3113.0,116.0,3301.285714285714,5.214842114079898,3.3451152719398802
